rumah,alamat,harga,temppat_tidur,luas_bangunan,luas_lahan
SEBELUM KEHABISAN RUMAH DIBAWAH 300 JUTA DEKAT CANDI PRAMBANAN,"Prambanan, Sleman",Rp 290.000.000,2,36,122
RUMAH SCANDINAVIAN DENGAN LANTAI MEZANINE DEKAT JALAN JOGJA SOLO,"Prambanan, Sleman",Rp 536.000.000,2,36,90
RUMAH MURAH VIEW SAWAH DI SELOMARTANI SLEMAN,"Kalasan, Sleman",Rp 549.999.999,2,55,112
Rumah baru murah dekat Hyatt jalan palagan km 7,"Ngaglik, Sleman",Rp 1.300.000.000,3,160,100
Dijual Rumah Mewah Type 110/195m2 di Jakal Sleman Yogyakarta Aranya Park 995juta,"Ngaglik, Sleman",Rp 995.000.000,5,110,195
Rumah Pinggir Jalan Damai Kaliurang Palagan Yogyakarta,"Ngaglik, Sleman",Rp 1.400.000.000,3,117,135
Dijual Murah Rumah sederhana kavlingan dalam kampung panggungharjo sewon,"Sewon, Bantul",Rp 550.000.000,2,55,116
"BONUS PERABOTAN, Siap Huni di Perumahan Sedayu Bantul, SHM IMB Lengkap","Sedayu, Bantul",Rp 495.000.000,3,52,84
"Jual Rumah Murah di Sleman - Yogyakarta, Nyaman & Cocok Untuk Usaha","Berbah, Sleman",Rp 1.550.000.000,3,48,404
RUMAH MINIMALIS MODERN DEKAT JALAN JOGJA SOLO,"Prambanan, Sleman",Rp 355.000.000,2,36,96
Dijual Rumah Baru Dekat UGM  Jl Kaliurang Km10 Jogja Yogyakarta,"Ngaglik, Sleman",Rp 1.395.000.000,3,95,100
2 M Saja Sudah Dapat Rumah Baru Ada Kolam Renang di Jalan Palagan,"Ngaglik, Sleman",Rp 2.200.000.000,3,200,180
Rumah Induk+19kt Kost KMandi dalam Link Premium Seturan dkt UPN,"Depok, Sleman",Rp 6.500.000.000,19,281,502
Rumah baru mewah carport 2 mobil dekat Jogjabay maguwo,"Depok, Sleman",Rp 1.750.000.000,3,110,143
Tjokro Boulevard Tipe 90,"Sewon, Bantul",Rp 1.065.000.000,3,90,80
"Dijual Cepat Kost Exclusive 41kt+ Caffe dkt Hartono Mall,Gejayan,Condongcatur","Depok, Sleman",Rp 11.500.000.000,10,1100,1073
DIJUAL RUMAH BARU UTARA JOGYA BAY YOGYAKARTA (BISA KPR),"Ngemplak, Sleman",Rp 630.000.000,3,88,115
"Dijual Rumah di Moyudan, dekat Mercubuana Sedayu","Moyudan, Sleman",Rp 350.000.000,2,50,120
"Rumah TerMewah Perum Elite Bale Mulia+Private Pool,Tropis Adem, SemiFurnish","Ngaglik, Sleman",Rp 10.000.000.000,5,532,399
Royal Sedayu Residence Tipe 50,"Sedayu, Bantul",Rp 831.210.000,2,50,105
Dijual murah Rumah Konsep Industrian Banguntapan,"Banguntapan, Bantul",Rp 805.000.000,3,72,72
Rumah Murah 2 lantai di Sleman,"Pakem, Sleman",Rp 550.000.000,2,56,68
"Dijual Rumah Full Furniture Losari, sukoharjo, Ngaglik Sleman (NEGO)","Ngaglik, Sleman",Rp 650.000.000,3,80,130
Tjokro Boulevard Tipe 65,"Sewon, Bantul",Rp 770.000.000,2,65,60
Rumah Proses Renovasi dekat Pemda Bantul di Bantul Kota Jogja Selatan,"Bantul, Bantul",Rp 385.000.000,2,60,84
Royal Sedayu Residence Tipe 90,"Sedayu, Bantul",Rp 1.115.181.000,3,90,135
"Dijual Rumah Hook di Umbulmartani, dekat Pasar Jangkang View Merapi","Ngemplak, Sleman",Rp 1.030.000.000,4,112,138
Rumah Klasik dp 88jt,"Imogiri, Bantul",Rp 1.200.000.000,3,96,90
rumah dekat area kampus yogya,"Kasihan, Bantul",Rp 700.000.000,3,120,120
RUMAH Dalam Ring Road Dekat Lottemart,"Depok, Sleman",Rp 650.000.000,4,150,157
RUMAH Limasan Dekat Kampus UMY,"Kasihan, Bantul",Rp 750.000.000,4,84,150
Hunian 2 Lantai Harga dibawah 800 Juta Dekat Kantor Pemda Sleman,"Sleman, Sleman",Rp 785.000.000,4,80,124
Rumah Full Furnished Dekat Kampus UII Jalan Kaliurang km 12,"Ngaglik, Sleman",Rp 1.950.000.000,3,135,148
Rumah Minimalis Modern Slemam Barat Dekat Kecamatan Minggir,"Minggir, Sleman",Rp 350.000.000,2,50,120
"SUPER MEWAH, RUMAH TOWNHOUSE STRATEGIS DEKAT AMBARUKMO PLAZA","Banguntapan, Bantul",Rp 890.000.000,2,60,96
Rumah Bagus Murah Jalan Laksda Adisucipto Yogyakarta,"Maguwoharjo, Sleman",Rp 850.000.000,4,90,129
"Rumah Induk+20kt kost Exclusive Seturan dkt UPN,Amplaz","Depok, Sleman",Rp 7.000.000.000,20,500,430
"Rumah Lux Cluster 2 Lantai , Full Furnished, Suasana Asri&Nyaman  Lokasi Strategis  ","Umbulharjo, Yogyakarta",Rp 3.300.000.000,4,170,146
JUAL RUMAH YOGYAKARTA DEKAT KAMPUS UGM,"Ngaglik, Sleman",Rp 975.000.000,3,100,137
DIJUAL RUMAH KOKOH DI TIMUR TEMBI JALAN PARANGTRITIS KM 8,"Sewon, Bantul",Rp 1.800.000.000,3,200,550
"Cluster Premium ,Aranya Park di Jakal KM 12 Yogyakarta dekat Kampus UII dan UGM","Ngaglik, Sleman",Rp 886.000.000,3,86,122
Dijual Rumah Mewah Pintu Tol Stadion Maguwo Yogyakarta Aranya Townhouse,"Maguwoharjo, Sleman",Rp 1.687.500.000,4,150,120
DI JUAL RUMAH ISTIMEWA LOKASI HOOK PINGGIR JALAN PERUMAHAN TAMAN KUANTAN,"Mlati, Sleman",Rp 1.980.000.000,3,158,140
Rumah Siap Huni di Jl Imogiri Timur Km 12 Jetis Bantul Jogja Selatan,"Jetis, Bantul",Rp 425.000.000,3,60,105
1 unit terakhir rumah modern di tajem maguwoharjo,"Maguwoharjo, Sleman",Rp 1.200.000.000,3,100,100
Jual rumah siap bangun sidokerto Godean dekat SMA N 1 Godean Sleman,"Godean, Sleman",Rp 729.000.000,2,56,105
"Perumahan Mewah View Pegunungan ,di Sleman Aranya Park Yogyakarta Type 86/122","Ngaglik, Sleman",Rp 886.000.000,3,86,122
Rumah di jual di jalan kaliurang km 78,"Condong Catur, Sleman",Rp 5.100.000.000,7,390,365
"Rumah modern sleman dekat Studio Alam Gamplong, hanya 500 jutaan bisa KPR","Moyudan, Sleman",Rp 525.500.000,2,40,168
Rumah Siap Huni dekat Pemda Bantul Kota di Bantul Kota Jogja Selatan,"Bantul, Bantul",Rp 450.000.000,2,45,88
Royal Sedayu Residence Tipe 56,"Sedayu, Bantul",Rp 1.081.603.000,2,56,163
Royal Sedayu Residence Tipe 75,"Sedayu, Bantul",Rp 1.140.828.000,3,75,163
Dijual Murah Rumah Baru Minimalis Jalan utama Purwomartani,"Purwo martani, Sleman",Rp 630.000.000,2,45,100
RUMAH Baru Type 88 di Wedomartani,"Ngemplak, Sleman",Rp 650.000.000,3,88,115
RUMAH Type 100 Dalam Ring Road,"Gamping, Sleman",Rp 675.000.000,3,100,81
"dijual rumah full furnish  2lt diMlati dkt jl Magelang km8an, SCH dll","Mlati, Sleman",Rp 2.750.000.000,5,285,205
Dijual Rumah Perumahan Permata Hijau Gamping dekat Jl Wates,"Gamping, Sleman",Rp 995.000.000,3,100,157
Rumah Baru Turun Harga Lokasi Dekat Sekolah Budi Mulia Ada Roof Top,"Ngemplak, Sleman",Rp 2.000.000.000,4,190,130
"Rumah di cebongan, mlati  sleman desaign skandinavia modern","Mlati, Sleman",Rp 650.000.000,3,60,100
RUMAH MEWAH 2 LANTAI FULL FURNISH DEKAT JL JOGJA SOLO DI PURWOMARTANI,"Kalasan, Sleman",Rp 1.350.000.000,3,104,123
"Jl Kaliurang km 9,5 bisa beli Kavling saja","Ngaglik, Sleman",Rp 975.000.000,3,69,117
Dekat Filosofi Kopi Jalan Palagan Rumah Baru Siap Huni Cuma 900 Jutaan,"Ngaglik, Sleman",Rp 945.000.000,3,90,115
Rumah Impian Murah 200anJt Free Desain Daerah Balecatur,"Gamping, Sleman",Rp 198.000.000,2,36,67
Dijual Rumah Baru Griya Pandan Simping di Prambanan,"Kalasan, Sleman",Rp 295.000.000,2,36,86
Rumah Murah Jl Kaliurang Km 13 Legalitas SHM Timur Kampus UII,"Ngaglik, Sleman",Rp 635.000.000,3,54,120
Rumah dlm Perumahan Griya Perwita Jakal km12,"Ngaglik, Sleman",Rp 2.500.000.000,11,256,250
Rumah Serasa Villa Murah All In Jalan Wates Km 6 Jogja,"Gamping, Sleman",Rp 493.000.000,2,40,80
Rumah Bebas Biaya Kepemilikan di Sedayu Jogja Baru,"Sedayu, Bantul",Rp 282.000.000,2,32,64
Rumah Strategis 600Jt an di Mlati Sleman 6 Menit dari Sleman City Hall,"Mlati, Sleman",Rp 635.187.349,2,60,102
"Rumah 2 lantai, Cluster Mewah Dekat UGM Jalan Kaliurang Km 9","Ngaglik, Sleman",Rp 1.700.000.000,3,120,100
"Rumah Murah Berlokasi Strategis di Mergangsan 2,8Km dari Malioboro","Mergangsan, Yogyakarta",Rp 950.000.000,3,90,70
Rumah 2 Lantai Lokasi Dekat Stadion Maguwoharjo Twin Pine Residence,"Depok, Sleman",Rp 1.350.000.000,3,70,130
"Bangunan Baru, Rumah Murah di Berbah Utara Kidsfun","Berbah, Sleman",Rp 530.000.000,3,60,100
Dijual Rumah Baru di deket Gedung TVRI Jl Magelang,Yogyakarta,Rp 1.350.000.000,3,100,120
Dijual rumah mewah laguna spring resort type new jasmine di sewon,"Banguntapan, Bantul",Rp 2.232.765.000,4,150,120
Rumah tipe 60 dekat Pasar Cebongan Sleman Free balik nama dan notaris,"Seyegan, Sleman",Rp 420.000.000,2,60,90
PERUM GRANDIA MANSION LOKASI STRATEGIS DI BANGUNTAPAN ONE GATE SYSYEM,"Banguntapan, Bantul",Rp 750.000.000,3,65,84
Jual Rumah Griya Indah 3 Utara Mirota Godean,"Kasihan, Bantul",Rp 1.700.000.000,4,220,220
Rumah Kost 12 Kamar Lokasi Strategis Dekat Kampus UPN Depok Sleman,"Depok, Sleman",Rp 3.145.000.000,12,230,130
Perumahan Balegong Residence,"Mlati, Sleman",Rp 1.850.000.000,4,164,190
Hunian Eksklusif dekat Pusat Bisnis di Jogja Utara,"Ngaglik, Sleman",Rp 1.708.150.000,3,118,91
RUMAH MURAH GRATIS PAJAK & BIAYA BALIK NAMA HANYA 211JT,"Wonosari, Gunung Kidul",Rp 211.000.000,2,36,91
Rumah Semi Villa selatan RS Panti Rini View Sungai Lingkungan Asri dan Sejuk,"Kalasan, Sleman",Rp 1.450.000.000,3,130,107
RUMAH MEWAH ADA PRIVATE POOL COCOK UNTUK GUEST HOUSE DI JL KALIURANG KM 13,"Ngaglik, Sleman",Rp 4.750.000.000,5,419,252
RUMAH ETNIK TIPE BESAR DEKAT WISATA CANDI PRAMBANAN,"Prambanan, Sleman",Rp 895.000.000,2,60,191
MURAH DEKAT KASONGAN TEPI JALAN DEKAT KAMPUS STIE HAMFARA,"Banguntapan, Bantul",Rp 362.000.000,2,45,88
RUMAH  KELUARGA HANYA 200 JUTAAN SEDAYU,"Sedayu, Bantul",Rp 200.000.000,2,36,60
"RUMAH 2 LANTAI DEKAT JANTI, JEC, BALAIKOTA,TIMOHO, AMBARUKMO","Depok, Sleman",Rp 1.900.000.000,3,80,98
Rumah Baru Dalam Cluster Dekat Pasar Cebongan Sleman,"Mlati, Sleman",Rp 925.000.000,3,85,166
HUNIAN NYAMAN HARGA MURAH DEKAT JALAN WONOSARI,"Wonosari, Gunung Kidul",Rp 250.000.000,2,39,60
RUMAH ETNIK JOGLO PRAMBANAN,"Kalasan, Sleman",Rp 365.000.000,2,36,70
Rumah Asri dan Nyaman Di Palagan Utara Hyatt,"Ngaglik, Sleman",Rp 1.500.000.000,4,256,233
Rumah Elegan Siap Huni 2 Lantai Dekat Monumen Jogja Kembali,"Ngaglik, Sleman",Rp 1.530.000.000,3,110,125
Rumah Dijual di Jogja Dalam Ringroad Dekat Janti,"Banguntapan, Bantul",Rp 799.000.000,3,100,89
Rumah Jogja Dekat Pasar Gamping,"Gamping, Sleman",Rp 592.000.000,3,55,90
"Rumah Dalam Kota Jogja, Jl Jambon Dekat TVRI Jogja","Tegalrejo, Yogyakarta",Rp 1.100.000.000,3,128,115
"RUMAH SIAP BANGUN,LOKASI STRATEGIS HANYA 5 MENIT DARI JALAN JANTI","Depok, Sleman",Rp 1.900.000.000,3,80,105
Dijual Rumah Hathaway 1350M Sudan Include Biaya Kenaikan SHM Dan IMB,"Maguwoharjo, Sleman",Rp 1.350.000.000,3,70,130
Perumahan Cantik Minimalis Indah Nuansa Hijau Caturharjo,Sleman,Rp 405.000.000,2,60,40
Rumah Asri Sleman Kota Harga 500 Jutaan,"Sleman, Sleman",Rp 660.000.000,3,60,113
Smart Home | Perumahan di Sleman Utara,"Sleman, Sleman",Rp 390.000.000,2,40,84
Hunian Asri Tengah Kota,"Maguwoharjo, Sleman",Rp 185.000.000,2,36,50
RUMAH SCANDINAVIAN HANYA 100 JUTAAN  4 MENIT KE UNY GUNUNGKIDUL,"Semanu, Gunung Kidul",Rp 185.000.000,2,30,60
"Murah, di jual rumah besar di jakal","Ngaglik, Sleman",Rp 600.000.000,7,258,183
"Rumah Baru Di Hyarta EcoVillage, Depok, Sleman","Depok, Sleman",Rp 4.000.000.000,4,147,164
"Perumahan Murah Graha Cahaya Argosarii Jogja, Cocok Buat Pasangan Muda","Sedayu, Bantul",Rp 300.000.000,2,94,94
Dijual rumah siap huni di ketingan dekat UGM,"Mlati, Sleman",Rp 530.000.000,3,100,101
DIJUAL RUMAH DESAIN MODERN TANAH LUAS SUASANA ASRI DI JAMBIDAN,"Banguntapan, Bantul",Rp 360.000.000,2,36,66
Rumah 200 Jutaan Jogja   Dekat   bandara kulon progo,Kulon Progo,Rp 288.000.000,2,98,98
RUMAH CANTIK TERLARIS DI KALASAN TANAH LUAS,"Purwo martani, Sleman",Rp 550.000.000,3,55,112
"RUMAH DIATAS TANAH 2417 METER DENGAN DESAIN ETNIK JAWA, DI JL KALIURANG KM 22","Pakem, Sleman",Rp 5.000.000.000,5,500,2417
RUMAH MURAH TANAH SUPER LUAS BISA KPR DI NGAGLIK SLEMAN,"Ngaglik, Sleman",Rp 650.000.000,2,52,134
Dijual rumah bagus strategis,"Wirobrajan, Yogyakarta",Rp 3.700.000.000,3,173,402
RUMAH PREMIUM HANYA 500 JUTAAN DI NGEMPLAK,"Ngemplak, Sleman",Rp 525.000.000,2,57,93
Rumah Mewah Halaman Luas Di Timoho Jogja Kota,"Umbulharjo, Yogyakarta",Rp 17.000.000.000,11,869,2021
Dijual Murah Rumah di Condongcatur dekat banyak fasum dan kampus,"Depok, Sleman",Rp 800.000.000,4,170,225
RUMAH MURAH BONUS MELIMPAH,"Sedayu, Bantul",Rp 385.000.000,2,40,70
"Rumah Siap Huni, Condongcatur 840 Juta","Condong Catur, Sleman",Rp 840.000.000,4,150,170
PERUMAHAN TJOKRO HERITAGE KOTA YOGYAKARTA,"Tegalrejo, Yogyakarta",Rp 1.400.000.000,2,84,90
"Rumah Murah, Mulia Residence Sedayu","Sedayu, Bantul",Rp 370.000.000,2,40,75
RUMAH STRATEGIS DI  SLEMAN MURAH TERJANGKAU 300 JUTAAN,"Sleman, Sleman",Rp 358.000.000,3,40,80
"HEMAT, MUDAH DAN CEPAT UNTUK DAPATKAN RUMAH 200 JUTAAN DI WONOSARI","Playen, Gunung Kidul",Rp 236.000.000,2,50,104
Rumah di seputaran Mlati,Sleman,Rp 450.000.000,4,170,198
Di jual rumah siap huni di lingkungan perum dekat ringin purwo,"Purwo martani, Sleman",Rp 450.000.000,3,100,123
RUMAH SIAP HUNI 100 JUTAAN BEBAS PAJAK DI WONOSARI,"Wonosari, Gunung Kidul",Rp 160.000.000,2,36,88
Jual Cepat Rumah Siap Huni Diskon 50 Juta,"Sleman, Sleman",Rp 403.000.000,2,40,93
Unit Terakhir Perumahan Jogja Selatan UMY Akses Mobil Leluasa SHM Perunit,"Kasihan, Bantul",Rp 538.526.000,2,45,93
Jual Murah Rumah Dalam Perumahan,"Jetis, Bantul",Rp 300.000.000,3,84,84
Dijual Rumah Baru Siap Huni 2 unit sisa 1 unit,"Sleman, Sleman",Rp 785.000.000,2,70,118
Dijual Rumah  Strategis Dekat Ringroad Selatan Bebas Balik Nama,"Kasihan, Bantul",Rp 570.000.000,2,45,103
Rumah Dalam Ringroad Gedung Kuning Ketandan,"Banguntapan, Bantul",Rp 550.000.000,2,75,90
RUMAH MODERN GAMPING SLEMAN TERMURAH LOKASI MASIH SANGAT ASRI,"Gamping, Sleman",Rp 198.000.000,2,36,67
"Rumah Strategis Dekat Stadion Maguwoharjo, Rs Uad, Unriyo, Tajem, upn","Sleman, Sleman",Rp 1.260.800.000,3,80,104
RUMAH MEWAH DI JOGJA DESAIN KLASIK BERLOKASI DI AREA JL GODEAN KM 8,"Godean, Sleman",Rp 1.200.000.000,3,92,152
RUMAH MEWAH 2 LANTAI DENGAN PRIVATE POOL 800 JUTAAN DI SLEMAN,"Ngemplak, Sleman",Rp 880.000.000,3,75,113
Balecatur siap bangun hunian 170 jt,"Gamping, Sleman",Rp 170.000.000,2,36,67
RUMAH READY DI CONCAT UTARA UII EKONOMI JOGJAKARTA,"Condong Catur, Sleman",Rp 2.600.000.000,5,250,297
Rumah Skandinavian Maguwo dekat Universitas Respati,"Maguwoharjo, Sleman",Rp 795.000.000,3,65,110
